,country,co2_emissions_tonnes_per_person_2018,consumption_emission_cap_2022,corruption_perception_index_cpi_2017,energy_production_per_person_2009,energy_use_per_person_2014,forest_coverage_percent_2019,gini_inegalite_de_repartition_2018,hdi_human_development_index_2021,menace_changement_climatique_2021,percentage_women_in_national_parliaments_2021,personal_computers_per_100_people_2005,revenu_moyen_menage_2022,sex_ratio_all_age_groups_2022,traffic_deaths_per_100000_people_2015
0,Afghanistan,0.254,0.385,15.0,,,1.85,,0.478,36.6,27.2,0.28,2000,102.0,
1,Angola,1.12,1.09,19.0,0.00544,541,53.9,51.3,0.586,,29.6,0.59,1510,97.7,
2,Albania,1.59,2.14,38.0,0.00039,808,28.8,30.1,0.796,63.9,35.7,1.73,3700,99.5,
3,Andorra,6.12,13.3,,,,34.0,,0.858,,46.4,,,104.0,
4,UAE,21.4,21.1,71.0,0.0243,7980,4.47,26.0,0.911,28.0,50.0,23.4,35.6k,226.0,
5,Argentina,4.41,3.76,39.0,0.00202,2030,10.5,41.3,0.842,70.7,44.4,9.03,12.3k,98.0,
6,Armenia,1.89,2.75,35.0,0.00027,1020,11.5,34.4,0.759,39.1,34.6,9.85,2930,81.7,
7,Antigua and Barbuda,5.88,3.92,,,,18.6,,0.788,,31.4,14.8,12.1k,91.4,
8,Australia,16.9,14.7,77.0,0.0142,5330,17.4,34.3,0.951,53.5,38.5,,23.2k,98.6,4.46
9,Austria,7.75,9.66,75.0,0.00136,3760,47.2,30.8,0.916,63.5,41.4,61.0,21k,97.0,4.15
10,Azerbaijan,3.7,4.04,31.0,0.00712,1500,13.6,,0.745,,18.3,2.31,4890,97.4,
11,Burundi,0.0467,1.15,22.0,,,10.9,,0.426,,38.9,0.73,531,98.6,
12,Belgium,8.69,16.3,75.0,0.00144,4710,22.8,27.2,0.937,42.9,43.8,38.0,19.2k,97.7,5.28
13,Benin,0.623,0.695,39.0,0.00023,404,28.3,37.9,0.525,52.6,7.41,0.38,1200,100.0,
14,Burkina Faso,0.198,0.3,42.0,,,22.9,43.0,0.449,50.4,6.3,0.6,1250,99.3,
15,Bangladesh,0.531,0.858,28.0,0.00017,227,14.5,,0.661,43.4,20.9,1.59,2440,98.3,
16,Bulgaria,6.32,5.54,43.0,0.0013,2480,35.7,41.3,0.795,46.7,22.5,,8810,94.1,
17,Bahrain,19.8,15.7,36.0,0.015,10.8k,0.87,,0.875,,18.8,17.6,16.2k,163.0,
18,Bahamas,4.7,7.3,65.0,,,50.9,,0.812,,20.0,12.4,12.4k,91.4,
19,Bosnia and Herzegovina,6.53,3.82,38.0,0.00119,2190,42.7,,0.78,57.7,24.6,5.43,10k,97.0,
20,Belarus,6.93,6.36,44.0,0.00042,2940,43.1,25.2,0.808,,34.7,0.81,7410,85.3,
21,Belize,1.5,1.06,,,,56.5,,0.683,,19.6,15.2,3980,101.0,
22,Bolivia,1.96,1.95,33.0,0.00145,763,47.1,42.6,0.692,73.7,48.2,2.4,5440,100.0,
23,Brazil,2.18,2.12,37.0,0.00119,1490,59.6,53.9,0.754,77.3,15.2,16.1,6110,96.5,
24,Barbados,4.48,4.03,68.0,,,14.7,,0.79,,29.4,14.8,10.5k,92.2,
25,Brunei,18.5,24.0,62.0,0.0483,8530,72.1,,0.829,,9.09,8.83,11.2k,107.0,
26,Bhutan,1.61,3.55,67.0,,,71.4,,0.666,,15.7,0.6,5240,112.0,
27,Botswana,2.96,5.0,61.0,0.00047,1200,27.1,,0.693,,11.1,4.87,4550,97.5,
28,Central African Republic,0.0651,1.15,23.0,,,35.9,,0.404,,12.9,0.3,773,99.9,
29,Canada,15.3,13.8,82.0,0.0116,7900,38.7,32.5,0.936,62.2,34.4,87.7,22.5k,98.8,
30,Switzerland,4.33,13.1,85.0,0.00168,3060,32.0,33.1,0.962,57.8,39.8,88.7,25.1k,98.6,
31,Chile,4.59,4.71,67.0,0.00055,2040,24.3,,0.855,86.3,32.7,14.1,8710,98.5,
32,China,7.06,7.22,41.0,0.00156,2220,23.1,38.5,0.768,22.6,24.9,4.83,5740,104.0,
33,Cote d'Ivoire,0.335,0.584,36.0,0.00061,603,9.28,37.2,0.55,52.5,15.6,1.78,1970,102.0,
34,Cameroon,0.323,0.399,25.0,0.00046,341,43.1,,0.576,44.2,31.1,1.23,2310,99.5,
35,"Congo, Dem. Rep.",0.0243,0.446,21.0,0.00036,378,56.1,,0.479,,14.8,0.02,675,98.4,
36,"Congo, Rep.",0.617,0.711,21.0,0.00388,531,64.3,,0.571,41.6,13.6,0.48,1590,99.8,
37,Colombia,1.96,2.27,37.0,0.00217,729,53.5,50.4,0.752,69.4,20.2,4.15,5940,97.3,
38,Comoros,0.263,0.549,27.0,,,17.9,,0.558,,16.7,0.68,2240,101.0,
39,Cape Verde,1.16,1.06,55.0,,,11.3,,0.662,,38.9,10.8,4100,98.9,
40,Costa Rica,1.61,2.33,59.0,0.00059,1010,59.1,48.0,0.809,74.0,45.6,23.1,9950,100.0,
41,Cuba,2.53,3.26,47.0,0.00049,1030,31.2,,0.764,,53.4,3.35,14.5k,98.5,
42,Cyprus,6.3,5.8,57.0,80µ,1680,18.7,32.7,0.896,75.7,14.3,33.4,17.6k,100.0,7.1
43,Czech Republic,9.94,10.0,57.0,0.00299,3920,34.6,25.0,0.889,48.5,22.4,27.4,12k,97.1,5.47
